false;Setting the mode to its current value must have no effect on irrigation. ; Users must be able to set the mode. 
false;If a new irrigation time setting fails validation, then AquaLush must notify the user of the problem and not accept the new setting. ; If a zone's critical moisture level is reached, then AquaLush must close all valves in the zone and go to the next zone. 
false;If a new irrigation time setting fails validation, then AquaLush must notify the user of the problem and not accept the new setting. ; AquaLush must read the working sensor in each zone 
false;If a new irrigation time setting fails validation, then AquaLush must notify the user of the problem and not accept the new setting. ; The following data must be recorded for each valve: Identifier, Type, Location, Flow rate, Operational status 
false;If a new irrigation time setting fails validation, then AquaLush must notify the user of the problem and not accept the new setting. ; The following data must be displayed for each valve in manual mode: Valve identifer, Valve location 
false;If the irrigation time is set when automatic irrigation is in progress, then AquaLush must finish the current irrigation cycle and the new irrigation time must take effect upon completion of the cycle. ; The following data must be recorded for each valve: Identifier, Type, Location, Flow rate, Operational status 
false;If the irrigation time is set when automatic irrigation is in progress, then AquaLush must finish the current irrigation cycle and the new irrigation time must take effect upon completion of the cycle. ; The simulation must provide means for controlling the simulation. 
false;If the irrigation time is set when automatic irrigation is in progress, then AquaLush must finish the current irrigation cycle and the new irrigation time must take effect upon completion of the cycle. ; The following data must be recorded for each valve: Identifier, Type, Location, Flow rate, Operational status 
false;If the irrigation time is set when automatic irrigation is in progress, then AquaLush must finish the current irrigation cycle and the new irrigation time must take effect upon completion of the cycle. ; If a sensor cannot be read, then AquaLush must try to read it twice more. 
false;If the irrigation time is set when automatic irrigation is in progress, then AquaLush must finish the current irrigation cycle and the new irrigation time must take effect upon completion of the cycle. ; AquaLush must allow the maximum amount of water used in each irrigation cycle, called the water allocation, to be set. 
false;If the irrigation time is set when automatic irrigation is in progress, then AquaLush must finish the current irrigation cycle and the new irrigation time must take effect upon completion of the cycle. ; If a sensor cannot be read, then AquaLush must try to read it twice more. 
false;If the irrigation time is set when automatic irrigation is in progress, then AquaLush must finish the current irrigation cycle and the new irrigation time must take effect upon completion of the cycle. ; Users must be able to set the mode. 
false;If the irrigation time is set when automatic irrigation is in progress, then AquaLush must finish the current irrigation cycle and the new irrigation time must take effect upon completion of the cycle. ; How much water has been used 
false;If the irrigation time is set when automatic irrigation is in progress, then AquaLush must finish the current irrigation cycle and the new irrigation time must take effect upon completion of the cycle. ; AquaLush must record its system parameters in persistent store so that its state can be restored at startup. 
false;If the irrigation time is set when automatic irrigation is in progress, then AquaLush must finish the current irrigation cycle and the new irrigation time must take effect upon completion of the cycle. ; The following data must be recorded for each valve: Identifier, Type, Location, Flow rate, Operational status 
false;AquaLush must display a reset irrigation time to the user. ; If a sensor cannot be read after three tries when AquaLush is irrigating that sensor's zone, then AquaLush must close all valves in that zone and continue the irrigation cycle as if that sensor had indicated that the zone had reached its critical moisture level. 
false;AquaLush must display a reset irrigation time to the user. ; A configuration file must be prepared at installation so that AquaLush can read this file to obtain its configuration at startup. 
false;AquaLush must display a reset irrigation time to the user. ; The following data must be recorded for each valve: Identifier, Type, Location, Flow rate, Operational status 
false;AquaLush must display a reset irrigation time to the user. ; AquaLush must allow users to indicate that failed valves and sensors have been repaired. 
false;AquaLush must display a reset irrigation time to the user. ; The control panel must have a menu-based textual user interface. 
false;AquaLush must display a reset irrigation time to the user. ; AquaLush must display the total water used in manual irrigation. 
false;AquaLush must display a reset irrigation time to the user. ; AquaLush must allow users to set the current time. 
false;AquaLush must display a reset irrigation time to the user. ; AquaLush must allow the maximum amount of water used in each irrigation cycle, called the water allocation, to be set. 
false;AquaLush must display a reset irrigation time to the user. ; If a valve cannot be manipulated (opened or closed), then AquaLush must try to manipulate it twice more. 
false;AquaLush must display a reset irrigation time to the user. ; AquaLush must read the working sensor in each zone and place all zones whose sensors are below that zone's critical moisture level on an active zone list. 
false;AquaLush must either not allow an invalid critical moisture level setting or validate the new critical moisture level setting. ; If a valve cannot be manipulated (opened or closed), then AquaLush must try to manipulate it twice more. 
false;AquaLush must either not allow an invalid critical moisture level setting or validate the new critical moisture level setting. ; A configuration file must be prepared at installation so that AquaLush can read this file to obtain its configuration at startup. 
false;AquaLush must either not allow an invalid critical moisture level setting or validate the new critical moisture level setting. ; AquaLush must allow moisture levels that control irrigation, called critical moisture levels, to be set for each irrigation zone. 
false;AquaLush must either not allow an invalid critical moisture level setting or validate the new critical moisture level setting. ; AquaLush must allow users to set the current time. 
false;AquaLush must either not allow an invalid critical moisture level setting or validate the new critical moisture level setting. ; AquaLush must allow users to set the current time. 
false;AquaLush must either not allow an invalid critical moisture level setting or validate the new critical moisture level setting. ; The current time is recorded in the system clock and may be set by the user. it consists of both the current day and the current time of day. 
false;AquaLush must either not allow an invalid critical moisture level setting or validate the new critical moisture level setting. ; AquaLush must display the following data for each manually opened valve while it is open: its identifier, its location 
false;AquaLush must either not allow an invalid critical moisture level setting or validate the new critical moisture level setting. ; If a zone's critical moisture level is reached, then AquaLush must close all valves in the zone and go to the next zone. 
false;AquaLush must either not allow an invalid critical moisture level setting or validate the new critical moisture level setting. ; In automatic-mode operation, AquaLush must conduct an irrigation cycle by irrigating one irrigation zone at a time and successively irrigating each zone until all have been irrigated. 
false;AquaLush must either not allow an invalid critical moisture level setting or validate the new critical moisture level setting. ; AquaLush must allow users to set the current time. 
false;If a new critical moisture level setting fails validation, then AquaLush must notify the user of the problem and not accept the new setting. ; The following data must be recorded for each valve: Identifier, Type, Location, Flow rate, Operational status 
false;If a new critical moisture level setting fails validation, then AquaLush must notify the user of the problem and not accept the new setting. ; The following data must be recorded for each valve: Identifier, Type, Location, Flow rate, Operational status 
false;If a new critical moisture level setting fails validation, then AquaLush must notify the user of the problem and not accept the new setting. ; AquaLush must allow users to set the current time. 
false;If a new critical moisture level setting fails validation, then AquaLush must notify the user of the problem and not accept the new setting. ; AquaLush must allow users to set the current time. 
false;If a new critical moisture level setting fails validation, then AquaLush must notify the user of the problem and not accept the new setting. ; If a valve cannot be manipulated (opened or closed), then AquaLush must try to manipulate it twice more. 
false;If a new critical moisture level setting fails validation, then AquaLush must notify the user of the problem and not accept the new setting. ; AquaLush must allow operation in either automatic or manual mode. 
false;If a new critical moisture level setting fails validation, then AquaLush must notify the user of the problem and not accept the new setting. ; Users must be able to set the mode. 
false;If a new critical moisture level setting fails validation, then AquaLush must notify the user of the problem and not accept the new setting. ; AquaLush must either not allow an invalid time setting or validate the new time setting. 
false;If a new critical moisture level setting fails validation, then AquaLush must notify the user of the problem and not accept the new setting. ; A configuration file must be prepared at installation so that AquaLush can read this file to obtain its configuration at startup. 
false;If a new critical moisture level setting fails validation, then AquaLush must notify the user of the problem and not accept the new setting. ; Users must be able to set the mode. 
false;If the critical moisture level is set when automatic irrigation is in progress, then AquaLush must use the new critical moisture level to control irrigation immediately. ; AquaLush must either not allow an invalid time setting or validate the new time setting. 
false;If the critical moisture level is set when automatic irrigation is in progress, then AquaLush must use the new critical moisture level to control irrigation immediately. ; If a valve cannot be manipulated (opened or closed), then AquaLush must try to manipulate it twice more. 
false;If the critical moisture level is set when automatic irrigation is in progress, then AquaLush must use the new critical moisture level to control irrigation immediately. ; AquaLush must record its system parameters in persistent store so that its state can be restored at startup. 
false;If the critical moisture level is set when automatic irrigation is in progress, then AquaLush must use the new critical moisture level to control irrigation immediately. ; AquaLush must allow users to set the current time. 
false;If the critical moisture level is set when automatic irrigation is in progress, then AquaLush must use the new critical moisture level to control irrigation immediately. ; Users must be able to set the mode. 
false;If the critical moisture level is set when automatic irrigation is in progress, then AquaLush must use the new critical moisture level to control irrigation immediately. ; AquaLush must allow the maximum amount of water used in each irrigation cycle, called the water allocation, to be set. 
false;If the critical moisture level is set when automatic irrigation is in progress, then AquaLush must use the new critical moisture level to control irrigation immediately. ; If a sensor cannot be read, then AquaLush must try to read it twice more. 
false;If the critical moisture level is set when automatic irrigation is in progress, then AquaLush must use the new critical moisture level to control irrigation immediately. ; The simulated time consists of the simulated day and the simulated time of day. 
false;If the critical moisture level is set when automatic irrigation is in progress, then AquaLush must use the new critical moisture level to control irrigation immediately. ; AquaLush must allow moisture levels that control irrigation, called critical moisture levels, to be set for each irrigation zone. 
false;If the critical moisture level is set when automatic irrigation is in progress, then AquaLush must use the new critical moisture level to control irrigation immediately. ; If a valve cannot be manipulated after three tries in manual-mode operation, then AquaLush must alert the user that the valve has failed. 
false;AquaLush must display a reset critical moisture level to the user. ; The following data must be recorded for each valve: Identifier, Type, Location, Flow rate, Operational status 
false;AquaLush must display a reset critical moisture level to the user. ; How much water has been used 
false;AquaLush must display a reset critical moisture level to the user. ; The control panel must have a menu-based textual user interface. 
false;AquaLush must display a reset critical moisture level to the user. ; In automatic-mode operation, AquaLush must conduct an irrigation cycle by irrigating one irrigation zone at a time and successively irrigating each zone until all have been irrigated. 
false;AquaLush must display a reset critical moisture level to the user. ; The simulation must display the simulated time and provide a means for setting the simulated time. 
false;AquaLush must display a reset critical moisture level to the user. ; Users must be able to set the mode. 
false;AquaLush must display a reset critical moisture level to the user. ; How much water has been used 
false;AquaLush must display a reset critical moisture level to the user. ; AquaLush must record its system parameters in persistent store so that its state can be restored at startup. 
false;AquaLush must display a reset critical moisture level to the user. ; AquaLush must display the following data for each manually opened valve while it is open: its identifier, its location 
false;AquaLush must display a reset critical moisture level to the user. ; If a sensor cannot be read, then AquaLush must try to read it twice more. 
false;AquaLush must either not allow an invalid water allocation setting or validate the new water allocation setting. ; AquaLush must either not allow an invalid critical moisture level setting or validate the new critical moisture level setting. 
false;AquaLush must either not allow an invalid water allocation setting or validate the new water allocation setting. ; The control panel must have a menu-based textual user interface. 
false;AquaLush must either not allow an invalid water allocation setting or validate the new water allocation setting. ; The simulation must provide controls to alter the simulated water evaporation rate. 
false;AquaLush must either not allow an invalid water allocation setting or validate the new water allocation setting. ; The current time is recorded in the system clock and may be set by the user. it consists of both the current day and the current time of day. 
false;AquaLush must either not allow an invalid water allocation setting or validate the new water allocation setting. ; AquaLush must allow users to set the current time. 
false;AquaLush must either not allow an invalid water allocation setting or validate the new water allocation setting. ; Users must be able to set the mode. 
false;AquaLush must either not allow an invalid water allocation setting or validate the new water allocation setting. ; AquaLush must provide reports of failed valves and sensors when requested to do so by the user. 
false;AquaLush must either not allow an invalid water allocation setting or validate the new water allocation setting. ; The following data must be recorded for each valve: Identifier, Type, Location, Flow rate, Operational status 
false;AquaLush must either not allow an invalid water allocation setting or validate the new water allocation setting. ; The following data must be recorded for each valve: Identifier, Type, Location, Flow rate, Operational status 
false;AquaLush must either not allow an invalid water allocation setting or validate the new water allocation setting. ; The following data must be recorded for each valve: Identifier, Type, Location, Flow rate, Operational status 
false;If a new water allocation setting fails validation, then AquaLush must notify the user of the problem and not accept the new setting. ; AquaLush must detect valve and sensor failures. 
false;If a new water allocation setting fails validation, then AquaLush must notify the user of the problem and not accept the new setting. ; If AquaLush cannot read its persistent store when starting up, then it must display an error message and suspend operation. 
false;If a new water allocation setting fails validation, then AquaLush must notify the user of the problem and not accept the new setting. ; AquaLush must either not allow an invalid critical moisture level setting or validate the new critical moisture level setting. 
false;If a new water allocation setting fails validation, then AquaLush must notify the user of the problem and not accept the new setting. ; The following data must be displayed for each valve in manual mode: Valve identifer, Valve location 
false;If a new water allocation setting fails validation, then AquaLush must notify the user of the problem and not accept the new setting. ; If AquaLush cannot read its persistent store when starting up, then it must display an error message and suspend operation. 
false;If a new water allocation setting fails validation, then AquaLush must notify the user of the problem and not accept the new setting. ; AquaLush must either not allow an invalid time setting or validate the new time setting. 
false;If a new water allocation setting fails validation, then AquaLush must notify the user of the problem and not accept the new setting. ; AquaLush must allow users to set the current time. 
false;If a new water allocation setting fails validation, then AquaLush must notify the user of the problem and not accept the new setting. ; The following data must be displayed for each valve in manual mode: Valve identifer, Valve location 
false;If a new water allocation setting fails validation, then AquaLush must notify the user of the problem and not accept the new setting. ; The simulation must display the simulated time and provide a means for setting the simulated time. 
false;If a new water allocation setting fails validation, then AquaLush must notify the user of the problem and not accept the new setting. ; AquaLush must allow users to set the current time. 
false;If the water allocation is set when automatic irrigation is in progress, then AquaLush must recompute the allocations for each unirrigated irrigation zone and use them immediately to control irrigation. ; AquaLush must detect valve and sensor failures. 
false;If the water allocation is set when automatic irrigation is in progress, then AquaLush must recompute the allocations for each unirrigated irrigation zone and use them immediately to control irrigation. ; If a sensor cannot be read, then AquaLush must try to read it twice more. 
false;If the water allocation is set when automatic irrigation is in progress, then AquaLush must recompute the allocations for each unirrigated irrigation zone and use them immediately to control irrigation. ; A configuration file must be prepared at installation so that AquaLush can read this file to obtain its configuration at startup. 
false;If the water allocation is set when automatic irrigation is in progress, then AquaLush must recompute the allocations for each unirrigated irrigation zone and use them immediately to control irrigation. ; The irrigation time must specify both the days and the time of day when irrigation is to occur. 
false;If the water allocation is set when automatic irrigation is in progress, then AquaLush must recompute the allocations for each unirrigated irrigation zone and use them immediately to control irrigation. ; AquaLush must assign each zone a zone allocation, which is the valve allocation multiplied by the number of working valves in the zone. 
false;If the water allocation is set when automatic irrigation is in progress, then AquaLush must recompute the allocations for each unirrigated irrigation zone and use them immediately to control irrigation. ; The Web-based AquaLush simulation must represent all operational and maintenance features of the delivered product. 
false;If the water allocation is set when automatic irrigation is in progress, then AquaLush must recompute the allocations for each unirrigated irrigation zone and use them immediately to control irrigation. ; the moisture level reported by its associated sensor 
false;If the water allocation is set when automatic irrigation is in progress, then AquaLush must recompute the allocations for each unirrigated irrigation zone and use them immediately to control irrigation. ; The following data must be recorded for each valve: Identifier, Type, Location, Flow rate, Operational status 
false;If the water allocation is set when automatic irrigation is in progress, then AquaLush must recompute the allocations for each unirrigated irrigation zone and use them immediately to control irrigation. ; A configuration file must be prepared at installation so that AquaLush can read this file to obtain its configuration at startup. 
false;If the water allocation is set when automatic irrigation is in progress, then AquaLush must recompute the allocations for each unirrigated irrigation zone and use them immediately to control irrigation. ; How long the valve has been open 
false;AquaLush must display a reset water allocation to the user. ; Users must be able to set the mode. 
false;AquaLush must display a reset water allocation to the user. ; If a valve cannot be manipulated after three tries in manual-mode operation, then AquaLush must alert the user that the valve has failed. 
false;AquaLush must display a reset water allocation to the user. ; The irrigated site must be divided into 1 to 32 irrigation zones. 
false;AquaLush must display a reset water allocation to the user. ; A configuration file must be prepared at installation so that AquaLush can read this file to obtain its configuration at startup. 
false;AquaLush must display a reset water allocation to the user. ; AquaLush must record its system parameters in persistent store so that its state can be restored at startup. 
false;AquaLush must display a reset water allocation to the user. ; AquaLush must detect valve and sensor failures. 
false;AquaLush must display a reset water allocation to the user. ; After establishing its configuration, AquaLush must read its persistent store to restore its state. 
false;AquaLush must display a reset water allocation to the user. ; AquaLush must allow users to set the current time. 
false;AquaLush must display a reset water allocation to the user. ; The following data must be recorded for each valve: Identifier, Type, Location, Flow rate, Operational status 
false;AquaLush must display a reset water allocation to the user. ; The following data must be recorded for each valve: Identifier, Type, Location, Flow rate, Operational status 
false;AquaLush must allow operation in either automatic or manual mode. ; AquaLush must allow moisture levels that control irrigation, called critical moisture levels, to be set for each irrigation zone. 
false;AquaLush must allow operation in either automatic or manual mode. ; AquaLush must either not allow an invalid time setting or validate the new time setting. 
false;AquaLush must allow operation in either automatic or manual mode. ; The current time is recorded in the system clock and may be set by the user. it consists of both the current day and the current time of day. 
false;AquaLush must allow operation in either automatic or manual mode. ; The current time is recorded in the system clock and may be set by the user. it consists of both the current day and the current time of day. 
false;AquaLush must allow operation in either automatic or manual mode. ; Every minute, AquaLush must read the zone sensor. 
false;AquaLush must allow operation in either automatic or manual mode. ; AquaLush must allow the days and time of day when irrigation occurs, called the irrigation time, to be set. 
false;AquaLush must allow operation in either automatic or manual mode. ; AquaLush must either not allow an invalid irrigation time setting or validate the new irrigation time setting. 
false;AquaLush must allow operation in either automatic or manual mode. ; AquaLush must provide reports of failed valves and sensors when requested to do so by the user. 
false;AquaLush must allow operation in either automatic or manual mode. ; The irrigated site must be divided into 1 to 32 irrigation zones. 
false;AquaLush must allow operation in either automatic or manual mode. ; The simulation must provide controls to alter the simulated water evaporation rate. 
false;AquaLush must monitor the amount of water used in irrigation. ; AquaLush must record its system parameters in persistent store so that its state can be restored at startup. 
false;AquaLush must monitor the amount of water used in irrigation. ; A configuration file must be prepared at installation so that AquaLush can read this file to obtain its configuration at startup. 
false;AquaLush must monitor the amount of water used in irrigation. ; If AquaLush cannot read its persistent store when starting up, then it must display an error message and suspend operation. 
false;AquaLush must monitor the amount of water used in irrigation. ; AquaLush must allow the maximum amount of water used in each irrigation cycle, called the water allocation, to be set. 
false;AquaLush must monitor the amount of water used in irrigation. ; AquaLush must allow the days and time of day when irrigation occurs, called the irrigation time, to be set. 
false;AquaLush must monitor the amount of water used in irrigation. ; The simulation must provide means for controlling the simulation. 
false;AquaLush must monitor the amount of water used in irrigation. ; If a sensor cannot be read, then AquaLush must try to read it twice more. 
false;AquaLush must monitor the amount of water used in irrigation. ; Every minute, AquaLush must read the zone sensor. 
false;AquaLush must monitor the amount of water used in irrigation. ; A configuration file must be prepared at installation so that AquaLush can read this file to obtain its configuration at startup. 
false;AquaLush must monitor the amount of water used in irrigation. ; Users must be able to set the mode. 
false;AquaLush must set the total water used in manual irrigation to zero when it starts up in manual mode or when it is switched to manual mode from automatic mode. ; How much water has been used 
false;AquaLush must set the total water used in manual irrigation to zero when it starts up in manual mode or when it is switched to manual mode from automatic mode. ; Each simulated irrigation zone must simulate a sensor and display the simulated sensor's moisture level. 
false;AquaLush must set the total water used in manual irrigation to zero when it starts up in manual mode or when it is switched to manual mode from automatic mode. ; AquaLush must detect valve and sensor failures. 
false;AquaLush must set the total water used in manual irrigation to zero when it starts up in manual mode or when it is switched to manual mode from automatic mode. ; AquaLush must allow users to indicate that failed valves and sensors have been repaired. 
false;AquaLush must set the total water used in manual irrigation to zero when it starts up in manual mode or when it is switched to manual mode from automatic mode. ; AquaLush must allow the days and time of day when irrigation occurs, called the irrigation time, to be set. 
false;AquaLush must set the total water used in manual irrigation to zero when it starts up in manual mode or when it is switched to manual mode from automatic mode. ; The simulation must provide means for controlling the simulation. 
false;AquaLush must set the total water used in manual irrigation to zero when it starts up in manual mode or when it is switched to manual mode from automatic mode. ; AquaLush must detect valve and sensor failures. 
false;AquaLush must set the total water used in manual irrigation to zero when it starts up in manual mode or when it is switched to manual mode from automatic mode. ; The following data must be recorded for each valve: Identifier, Type, Location, Flow rate, Operational status 
false;AquaLush must set the total water used in manual irrigation to zero when it starts up in manual mode or when it is switched to manual mode from automatic mode. ; In automatic-mode operation, AquaLush must begin an irrigation cycle when the current time reaches the irrigation time. 
false;AquaLush must set the total water used in manual irrigation to zero when it starts up in manual mode or when it is switched to manual mode from automatic mode. ; the moisture level reported by its associated sensor 
false;AquaLush must allow the days and time of day when irrigation occurs, called the irrigation time, to be set. ; AquaLush must make no attempt to resume an irrigation operation that may have been in progress when it was shut down. 
false;AquaLush must allow the days and time of day when irrigation occurs, called the irrigation time, to be set. ; If a sensor cannot be read after three tries when AquaLush is irrigating that sensor's zone, then AquaLush must close all valves in that zone and continue the irrigation cycle as if that sensor had indicated that the zone had reached its critical moisture level. 
false;AquaLush must allow the days and time of day when irrigation occurs, called the irrigation time, to be set. ; AquaLush must allow the days and time of day when irrigation occurs, called the irrigation time, to be set. 
false;AquaLush must allow the days and time of day when irrigation occurs, called the irrigation time, to be set. ; AquaLush must allow the maximum amount of water used in each irrigation cycle, called the water allocation, to be set. 
false;AquaLush must allow the days and time of day when irrigation occurs, called the irrigation time, to be set. ; AquaLush must allow the days and time of day when irrigation occurs, called the irrigation time, to be set. 
false;AquaLush must allow the days and time of day when irrigation occurs, called the irrigation time, to be set. ; A configuration file must be prepared at installation so that AquaLush can read this file to obtain its configuration at startup. 
false;AquaLush must allow the days and time of day when irrigation occurs, called the irrigation time, to be set. ; AquaLush must allow users to indicate that failed valves and sensors have been repaired. 
false;AquaLush must allow the days and time of day when irrigation occurs, called the irrigation time, to be set. ; AquaLush must detect valve and sensor failures. 
false;AquaLush must allow the days and time of day when irrigation occurs, called the irrigation time, to be set. ; The simulated time consists of the simulated day and the simulated time of day. 
false;AquaLush must allow the days and time of day when irrigation occurs, called the irrigation time, to be set. ; A configuration file must be prepared at installation so that AquaLush can read this file to obtain its configuration at startup. 
false;AquaLush must read the working sensor in each zone and place all zones whose sensors are below that zone's critical moisture level on an active zone list. ; The Web-based AquaLush simulation must represent all operational and maintenance features of the delivered product. 
false;AquaLush must read the working sensor in each zone and place all zones whose sensors are below that zone's critical moisture level on an active zone list. ; The following data must be recorded for each valve: Identifier, Type, Location, Flow rate, Operational status 
false;AquaLush must read the working sensor in each zone and place all zones whose sensors are below that zone's critical moisture level on an active zone list. ; AquaLush must record its system parameters in persistent store so that its state can be restored at startup. 
false;AquaLush must read the working sensor in each zone and place all zones whose sensors are below that zone's critical moisture level on an active zone list. ; AquaLush must allow the days and time of day when irrigation occurs, called the irrigation time, to be set. 
false;AquaLush must read the working sensor in each zone and place all zones whose sensors are below that zone's critical moisture level on an active zone list. ; If a zone's critical moisture level is reached, then AquaLush must close all valves in the zone and go to the next zone. 
false;AquaLush must read the working sensor in each zone and place all zones whose sensors are below that zone's critical moisture level on an active zone list. ; The simulation must provide controls to change the simulation speed (that is, speed up or slow down the simulated time). 
false;AquaLush must read the working sensor in each zone and place all zones whose sensors are below that zone's critical moisture level on an active zone list. ; A configuration file must be prepared at installation so that AquaLush can read this file to obtain its configuration at startup. 
false;AquaLush must read the working sensor in each zone and place all zones whose sensors are below that zone's critical moisture level on an active zone list. ; The irrigated site must be divided into 1 to 32 irrigation zones. 
false;AquaLush must read the working sensor in each zone and place all zones whose sensors are below that zone's critical moisture level on an active zone list. ; The irrigated site must be divided into 1 to 32 irrigation zones. 
false;AquaLush must read the working sensor in each zone and place all zones whose sensors are below that zone's critical moisture level on an active zone list. ; If a zone's critical moisture level is reached, then AquaLush must close all valves in the zone and go to the next zone. 
false;AquaLush must count the working valves in the active zones and divide the water allocation by this count to get a valve allocation. ; AquaLush must allow users to set the current time. 
false;AquaLush must count the working valves in the active zones and divide the water allocation by this count to get a valve allocation. ; The current time is recorded in the system clock and may be set by the user. it consists of both the current day and the current time of day. 
false;AquaLush must count the working valves in the active zones and divide the water allocation by this count to get a valve allocation. ; AquaLush must allow moisture levels that control irrigation, called critical moisture levels, to be set for each irrigation zone. 
false;AquaLush must count the working valves in the active zones and divide the water allocation by this count to get a valve allocation. ; AquaLush must allow the maximum amount of water used in each irrigation cycle, called the water allocation, to be set. 
false;AquaLush must count the working valves in the active zones and divide the water allocation by this count to get a valve allocation. ; If a sensor cannot be read, then AquaLush must try to read it twice more. 
false;AquaLush must count the working valves in the active zones and divide the water allocation by this count to get a valve allocation. ; AquaLush must allow the maximum amount of water used in each irrigation cycle, called the water allocation, to be set. 
false;AquaLush must count the working valves in the active zones and divide the water allocation by this count to get a valve allocation. ; AquaLush must detect valve and sensor failures. 
false;AquaLush must count the working valves in the active zones and divide the water allocation by this count to get a valve allocation. ; After establishing its configuration, AquaLush must read its persistent store to restore its state. 
false;AquaLush must count the working valves in the active zones and divide the water allocation by this count to get a valve allocation. ; The following data must be recorded for each valve: Identifier, Type, Location, Flow rate, Operational status 
false;AquaLush must count the working valves in the active zones and divide the water allocation by this count to get a valve allocation. ; AquaLush must allow the maximum amount of water used in each irrigation cycle, called the water allocation, to be set. 
false;For each active zone, AquaLush must open all the working valves in the zone. ; A configuration file must be prepared at installation so that AquaLush can read this file to obtain its configuration at startup. 
false;For each active zone, AquaLush must open all the working valves in the zone. ; AquaLush must allow moisture levels that control irrigation, called critical moisture levels, to be set for each irrigation zone. 
false;For each active zone, AquaLush must open all the working valves in the zone. ; Associated sensor moisture level 
false;For each active zone, AquaLush must open all the working valves in the zone. ; AquaLush must display the total water used in manual irrigation. 
false;For each active zone, AquaLush must open all the working valves in the zone. ; AquaLush must allow users to set the current time. 
false;For each active zone, AquaLush must open all the working valves in the zone. ; If a sensor cannot be read after three tries in manual-mode operation, then AquaLush must alert the user that the sensor has failed. 
false;For each active zone, AquaLush must open all the working valves in the zone. ; If a sensor cannot be read, then AquaLush must try to read it twice more. 
false;For each active zone, AquaLush must open all the working valves in the zone. ; AquaLush must allow the days and time of day when irrigation occurs, called the irrigation time, to be set. 
false;For each active zone, AquaLush must open all the working valves in the zone. ; Users must be able to set the mode. 
false;For each active zone, AquaLush must open all the working valves in the zone. ; After establishing its configuration, AquaLush must read its persistent store to restore its state. 
false;Every minute, AquaLush must read the zone sensor. ; AquaLush must either not allow an invalid water allocation setting or validate the new water allocation setting. 
false;Every minute, AquaLush must read the zone sensor. ; AquaLush must read the working sensor in each zone 
false;Every minute, AquaLush must read the zone sensor. ; AquaLush must display the total water used in manual irrigation. 
false;Every minute, AquaLush must read the zone sensor. ; The simulation must provide means for controlling the simulation. 
false;Every minute, AquaLush must read the zone sensor. ; In manual-mode operation, AquaLush must allow users to select non-empty sets of (working) valves and direct that they be opened or closed. 
false;Every minute, AquaLush must read the zone sensor. ; Associated sensor moisture level 
false;Every minute, AquaLush must read the zone sensor. ; If a sensor cannot be read after three tries when AquaLush is irrigating that sensor's zone, then AquaLush must close all valves in that zone and continue the irrigation cycle as if that sensor had indicated that the zone had reached its critical moisture level. 
false;Every minute, AquaLush must read the zone sensor. ; The simulation must provide means for controlling the simulation. 
false;Every minute, AquaLush must read the zone sensor. ; AquaLush must allow users to indicate that failed valves and sensors have been repaired. 
false;Every minute, AquaLush must read the zone sensor. ; The current time is recorded in the system clock and may be set by the user. it consists of both the current day and the current time of day. 
false;AquaLush must allow moisture levels that control irrigation, called critical moisture levels, to be set for each irrigation zone. ; AquaLush must allow the days and time of day when irrigation occurs, called the irrigation time, to be set. 
false;AquaLush must allow moisture levels that control irrigation, called critical moisture levels, to be set for each irrigation zone. ; AquaLush must display the following data for each manually opened valve while it is open: its identifier, its location, how long it has been open 
false;AquaLush must allow moisture levels that control irrigation, called critical moisture levels, to be set for each irrigation zone. ; The simulation must provide controls to change the simulation speed (that is, speed up or slow down the simulated time). 
false;AquaLush must allow moisture levels that control irrigation, called critical moisture levels, to be set for each irrigation zone. ; The following data must be recorded for each valve: Identifier, Type, Location, Flow rate, Operational status 
false;AquaLush must allow moisture levels that control irrigation, called critical moisture levels, to be set for each irrigation zone. ; Users must be able to set the mode. 
false;AquaLush must allow moisture levels that control irrigation, called critical moisture levels, to be set for each irrigation zone. ; The current time is recorded in the system clock and may be set by the user. it consists of both the current day and the current time of day. 
false;AquaLush must allow moisture levels that control irrigation, called critical moisture levels, to be set for each irrigation zone. ; If a zone's zone allocation is reached, then AquaLush must close all valves in the zone and go to the next zone. 
false;AquaLush must allow moisture levels that control irrigation, called critical moisture levels, to be set for each irrigation zone. ; AquaLush must allow users to set the current time. 
false;AquaLush must allow moisture levels that control irrigation, called critical moisture levels, to be set for each irrigation zone. ; AquaLush must either not allow an invalid critical moisture level setting or validate the new critical moisture level setting. 
false;AquaLush must allow moisture levels that control irrigation, called critical moisture levels, to be set for each irrigation zone. ; A configuration file must be prepared at installation so that AquaLush can read this file to obtain its configuration at startup. 
false;AquaLush must allow moisture levels that control irrigation, called critical moisture levels, to be set for each irrigation zone. ; If a sensor cannot be read, then AquaLush must try to read it twice more. 
false;AquaLush must allow moisture levels that control irrigation, called critical moisture levels, to be set for each irrigation zone. ; AquaLush must make no attempt to resume an irrigation operation that may have been in progress when it was shut down. 
false;AquaLush must allow moisture levels that control irrigation, called critical moisture levels, to be set for each irrigation zone. ; The following data must be displayed for each valve in manual mode.
false;AquaLush must allow moisture levels that control irrigation, called critical moisture levels, to be set for each irrigation zone. ; If a sensor cannot be read after three tries in manual-mode operation, then AquaLush must alert the user that the sensor has failed. 
